#separator:comma
#html:true
#notetype column:1
#deck column:2
#tags column:8
word type,0-current-using::ngsl-wip,{{c1::other}} - something else; not the first one,54,adj,/ʌ•ðə/,other,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::out}} - away from the inside or center,55,prep,/aʊt/,out,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::good}} - excellent; high quality,56,adj,/gʊd/,good,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::people}} - human beings in general; plural of person,57,noun,/piː•pl/,people,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::year}} - unit of time equal to 12 months,58,noun,/jɚ/,year,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::take}} - to pick up something and go away with it,59,verb,/tɛɪk/,take,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::no}} - being none; not having or being,60,adv,/noʊ/,no,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::well}} - in a good way,61,adj,/wɛl/,well,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::because}} - for a reason,62,conj,/bɪ•kɑz/,because,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::very}} - much; great in amount,63,verb,/vɛ•rɪ/,very,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::just}} - only; a short time ago,64,adv,/dʒʌst/,just,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::come}} - to move toward someone; go with someone,65,verb,/kʌm/,come,english words ngsl,
word type,0-current-using::ngsl-wip,"{{c1::could}} - ""used as the past form of can--to show possibility""",66,verb,/kʊd/,could,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::work}} - activity you do in order to make money,67,noun,/wɚk/,work,english words ngsl,
word type,0-current-using::ngsl-wip,"{{c1::use}} - ""to do something with--for a task or purpose""",68,verb,/juz/,use,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::than}} - used when comparing two things,69,conj,/ðæn/,than,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::now}} - at the present time or moment,70,adv,/naʊ/,now,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::then}} - at that time not now,71,adv,/ðɛn/,then,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::also}} - in addition; too; in a similar way,72,adv,/oɚl•soʊ/,also,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::into}} - going inside something,73,prep,/ɪn•tʊ/,into,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::only}} - just one; just that amount or thing; not more than,74,adv,/oʊn•lɪ/,only,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::look}} - to turn your eyes in a particular direction,75,verb,/lʊk/,look,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::want}} - to desire or wish for something; hope for a thing,76,verb,/wɑnt/,want,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::give}} - to hand over or present something to someone,77,verb,/gɪv/,give,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::first}} - coming before all others in time or place,78,adj,/fɚst/,first,english words ngsl,
word type,0-current-using::ngsl-wip,"{{c1::new}} - ""not old--recently born--built--or made""",79,adj,/nju/,new,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::way}} - how something is done,80,noun,/wɛɪ/,way,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::find}} - to discover something by looking for it,81,verb,/faɪnd/,find,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::over}} - above; across; more than; on the other side,82,prep,/oʊ•və/,over,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::any}} - one (thing) of many; some (thing),83,adj,/ɛ•nɪ/,any,english words ngsl,
word type,0-current-using::ngsl-wip,"{{c1::after}} - ""later than another time--or behind something""",84,adv,/ɑɚf•tə/,after,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::day}} - a period of 24 hours,85,noun,/dɛɪ/,day,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::where}} - word you use to ask the location of something,86,noun,/wɛɚ/,where,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::thing}} - something you cannot remember the name of,87,noun,/θɪŋ/,thing,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::most}} - nearly all of something,88,pron,/moʊst/,most,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::should}} - used to indicate what is proper or reasonable,89,aux,/ʃʊd/,should,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::need}} - to be unable to manage without something; require,90,verb,/niːd/,need,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::much}} - a lot; large amount; a high degree of,91,pron,/mʌtʃ/,much,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::right}} - on side where the hand that most people write with,92,adj,/raɪt/,right,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::how}} - in what way something happens or is done,93,adv,/haʊ/,how,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::back}} - the place you were before,94,noun,/bæk/,back,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::mean}} - to have a particular meaning or value,95,verb,/miːn/,mean,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::even}} - as well; too,96,adv,/iː•vən/,even,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::may}} - used to talk about what is possible,97,aux,/mɛɪ/,may,english words ngsl,
word type,0-current-using::ngsl-wip,"{{c1::here}} - ""in--at--or to this position or place""",98,adv,/hiːɚ/,here,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::many}} - used to refer to a large number of things,99,adj,/mɛ•nɪ/,many,english words ngsl,
word type,0-current-using::ngsl-wip,{{c1::such}} - like or similar,100,adj,/sʌtʃ/,such,english words ngsl,
