was,30,was:1,verb,was,"/wʌz/, /wɑz/",first-person singular simple past indicative of be.,"Middle English, from Old English, wæs, 1st & 3d singular past indicative of wesan to be; akin to Old Norse vera to be, var was, Sanskrit vasati he lives, dwells",english words
we,31,we:1,pronoun,we,/ˈwē/,I and the rest of a group that includes me :you and I :you and I and another or others :I and another or others not including youcompare i our ours us.,"Middle English, from Old English wē; akin to Old High German wir we, Sanskrit vayam",english words
will,32,will:1,verb,,"/wəl, (ə)l, ᵊl, ˈwil/","desire, wish.","Middle English (1st & 3d singular present indicative), from Old English wille (infinitive wyllan); akin to Old High German wili (3d singular present indicative) wills, Latin velle to wish, will",english words
home,33,home:1,noun,,/ˈhōm/,one's place of residence :domicile.,"Middle English hom, from Old English hām village, home; akin to Old High German heim home, Lithuanian šeima family, servants, Sanskrit kṣema habitable, kṣeti he dwells, Greek ktizein to inhabit",english words
can,34,can:1,verb,,"/kən, ˈkan ˈken; ˈkin/","know, understand.","Middle English (1st & 3d singular present indicative), from Old English; akin to Old High German kan (1st & 3d singular present indicative) know, am able, Old English cnāwan to know know",english words
us,35,us:Origin,pronoun,us,/ˈəs/,Origin.,"Middle English, from Old English ūs; akin to Old High German uns us, Latin nos",english words
about,36,about:1,adverb,about,/ə-ˈbau̇t/,reasonably close to.,"Middle English, from Old English abūtan, from a- + būtan outside but",english words
if,37,if:1,conjunction,if,"/ˈif, əf/",in the event that.,"Middle English, from Old English gif; akin to Old High German ibu if",english words
page,38,page:1,noun,page,/ˈpāj/,a youth being trained for the medieval rank of knight and in the personal service of a knight.,"Middle English, from Anglo-French",english words
my,39,my:1,adjective,my,"/ˈmī, mə/","of or relating to me or myself especially as possessor, agent, object of an action, or familiar person.","Middle English, from Old English mīn, from mīn, suppletive genitive of ic I; akin to Old English mē me",english words
has,40,has:1,verb,has,/hæz/,third-person singular simple present indicatize form of have,,english words
search,41,search:1,verb,search,/ˈsərch/,to look into or over carefully or thoroughly in an effort to find or discover something: as.,"Middle English cerchen, from Anglo-French cercher, sercher to travel about, investigate, search, from Late Latin circare to go about, from Latin circum round about circum-",english words
free,42,free:1,adjective,,/ˈfrē/,having the legal and political rights of a citizen.,"Middle English, from Old English frēo; akin to Old High German frī free, Welsh rhydd, Sanskrit priya own, dear",english words
but,43,but:1,conjunction,but,/ˈbət/,except for the fact.,"Middle English, from Old English būtan, preposition & conjunction, outside, without, except, except that; akin to Old High German būzan without, except; akin to Old English be by, ūt out by, out",english words
our,44,our:1,adjective,our,"/är, ˈau̇(-ə)r/","of or relating to us or ourselves or ourself especially as possessors or possessor, agents or agent, or objects or object of an action.","Middle English oure, from Old English ūre; akin to Old High German unsēr our, Old English ūs us",english words
one,45,one:1,adjective,,/ˈwən/,being a single unit or thing.,"Middle English on, an, from Old English ān; akin to Old High German ein one, Latin unus (Old Latin oinos), Sanskrit eka",english words
other,46,other:1,adjective,oth*er,/ˈə-t͟hər/,being the one (as of two or more) remaining or not included.,"Middle English, from Old English ōther; akin to Old High German andar other, Sanskrit antara",english words
do,47,do:1,verb,,/ˈdü/,to bring to pass :carry out.,"Middle English don, from Old English dōn; akin to Old High German tuon to do, Latin -dere to put, facere to make, do, Greek tithenai to place, set",english words
no,48,no:1,adverb,no,/ˈnō/,not,"Middle English, from Old English nā, from ne not + ā always; akin to Old Norse & Old High German ne not, Latin ne-, Greek nē- aye",english words
information,49,information:1,noun,in*for*ma*tion,/ˌin-fər-ˈmā-shən/,the communication or reception of knowledge or intelligence.,,english words
time,50,time:1,noun,time,/ˈtīm/,"the measured or measurable period during which an action, process, or condition exists or continues :duration.","Middle English, from Old English tīma; akin to Old Norse tīmi time, Old English tīd tide",english words
they,51,they:1,"pronoun, plural in construction",,/ˈt͟hā/,"those ones used as third person pronoun serving as the plural of he, she, or it or referring to a group of two or more individuals not all of the same sex.","Middle English, from Old Norse their, masculine plural demonstrative & personal pron.; akin to Old English thæt that",english words
site,52,site:1,noun,site,/ˈsīt/,"the spatial location of an actual or planned structure or set of structures (as a building, town, or monuments).","Middle English, place, position, from Anglo-French or Latin; Anglo-French sit, site, from Latin situs, from sinere to leave, allow",english words
he,53,he:1,pronoun,he,"/ˈhē, ē/",that male one who is neither speaker nor hearercompare him his it she they.,"Middle English, from Old English hē; akin to Old English hēo she, hit it, Old High German hē he, Latin cis, citra on this side, Greek ekeinos that person",english words
up,54,up:1,adverb,up,/ˈəp/,in or into a higher position or level; especially away from the center of the earth.,"partly from Middle English up upward, from Old English ūp; partly from Middle English uppe on high, from Old English; both akin to Old High German ūf up and probably to Latin sub under, Greek hypo under, hyper over over",english words
may,55,May:1,noun,,/ˈmā/,the fifth month of the Gregorian calendar.,"Middle English, from Anglo-French & Latin; Anglo-French mai, from Latin Maius, from Maia, Roman goddess",english words
what,56,what:1,pronoun,what,"/ˈhwät, ˈhwət, ˈwät, ˈwət/","used as an interrogative expressing inquiry about the identity, nature, or value of an object or matter.","Middle English, from Old English hwæt, neuter of hwā who who",english words
which,57,which:1,adjective,which,"/ˈhwich, ˈwich/",being what one or ones out of a group.,"Middle English, of what kind, which, from Old English hwilc; akin to Old High German wilīh of what kind, which, Old English hwā who, gelīk like who, like",english words
their,58,their:1,adjective,their,"/t͟hər, ˈt͟her/","of or relating to them or themselves especially as possessors, agents, or objects of an action.","Middle English, from their, pron., from Old Norse theirra, genitive plural demonstrative & personal pron.; akin to Old English thæt that",english words
news,59,news:1,noun,news,"/ˈnüz, ˈnyüz/",a report of recent events.,,english words
out,60,out:1,adverb,out,/ˈau̇t/,in a direction away from the inside or center.,"Middle English, from Old English ūt; akin to Old High German ūz out, Greek hysteros later, Sanskrit ud up, out",english words
use,61,use:1,noun,use,/ˈyüs/,the act or practice of employing something :employment application.,"Middle English us, from Anglo-French, from Latin usus, from uti to use",english words
any,62,any:1,adjective,any,/ˈe-nē/,one or some indiscriminately of whatever kind:.,"Middle English, from Old English ǣnig; akin to Old High German einag any, Old English ān one one",english words
there,63,there:1,adverb,there,/ˈt͟her/,in or at that place.,"Middle English, from Old English thǣr; akin to Old High German dār there, Old English thæt that",english words
see,64,see:1,verb,,/ˈsē/,to perceive by the eye.,"Middle English seen, from Old English sēon; akin to Old High German sehan to see and perhaps to Latin sequi to follow sue",english words
only,65,only:1,adjective,on*ly,/ˈōn-lē/,unquestionably the best :peerless.,"Middle English, from Old English ānlīc, from ān one one",english words
so,66,so:1,adverb,so,"/ˈsō, sə/",in a manner or way indicated or suggested.,"Middle English, from Old English swā; akin to Old High German sō so, Latin sic so, thus, si if, Greek hōs so, thus, Latin suus one's own suicide",english words
his,67,his:1,adjective,his,"/(h)iz, ˌhiz/","of or relating to him or himself especially as possessor, agent, or object of an actioncompare he.","Middle English, from Old English, genitive of hē he",english words
when,68,when:1,adverb,when,"/ˈhwen, ˈwen, (h)wən/",at what time.,"Middle English, from Old English hwanne, hwenne; akin to Old High German hwanne when, Old English hwā who who",english words
contact,69,contact:1,noun,con*tact,/ˈkän-ˌtakt/,union or junction of surfaces.,"French or Latin; French, from Latin contactus, from contingere to have contact with contingent",english words
here,70,here:1,adverb,here,/ˈhir/,in or at this place.,"Middle English, from Old English hēr; akin to Old High German hier here, Old English hē he",english words
business,71,business:1,noun,busi*ness,"/ˈbiz-nəs, -nəz, ˈbid-/",purposeful activity :busyness.,"Middle English bisynesse, from bisy busy + -nesse -ness",english words
who,72,who:1,pronoun,who,"/ˈhü, ü/",what or which person or persons.,"Middle English, from Old English hwā; akin to Old High German hwer, interrog. pron., who, Latin quis, Greek tis, Latin qui, relative pron., who",english words
web,73,web:1,noun,web,/ˈweb/,a fabric on a loom or in process of being removed from a loom.,"Middle English, from Old English; akin to Old Norse vefr web, Old English wefan to weave",english words
also,74,also:1,adverb,al*so,"/ˈȯl(t)-(ˌ)sō, ˈȯ-/",likewise 1.,"Middle English, from Old English eallswā, from eall all + swā so so",english words
now,75,now:1,adverb,now,/ˈnau̇/,at the present time or moment.,"Middle English, from Old English nū; akin to Old High German nū now, Latin nunc, Greek nyn",english words
help,76,help:1,verb,help,/ˈhelp; ˈhep ˈheəp/,to give assistance or support to.,"Middle English, from Old English helpan; akin to Old High German helfan to help, and perhaps to Lithuanian šelpti",english words
get,77,get:1,verb,,"/ˈget, ÷ˈgit/",to gain possession of.,"Middle English, from Old Norse geta to get, beget; akin to Old English bigietan to beget, Latin prehendere to seize, grasp, Greek chandanein to hold, contain",english words
pm,78,pm:1,abbreviation,pm,,phase modulation.,,english words
view,79,view:1,noun,view,/ˈvyü/,extent or range of vision :sight.,"Middle English vewe, vyewe, from Anglo-French, from feminine of veu, viewe, past participle of veer to see, from Latin vidēre wit",english words
online,80,online:1,adjective,on*line,"/ˈȯn-ˈlīn, ˈän-ˈlīn/","connected to, served by, or available through a system and especially a computer or telecommunications system (as the Internet); also done while connected to such a system.",,english words
c,81,c:1,noun,c,/ˈsē/,the 3d letter of the English alphabet.,,english words
e,82,e:1,noun,e,/ˈē/,the 5th letter of the English alphabet.,,english words
first,83,first:1,adjective,first,/ˈfərst/,"preceding all others in time, order, or importance: as.","Middle English, from Old English fyrst; akin to Old High German furist first, Old English faran to go fare",english words
am,84,am:1,verb,am,/æm/,,"Middle English, from Old English eom; akin to Old Norse em am, Latin sum, Greek eimi",english words
been,85,been:1,verb,been,/bɪn/,to equal in meaning : have the same connotation as : symbolize,,english words
would,86,would:1,verb,would,"/wəd, əd, d, ˈwu̇d/","wished, desired.","Middle English wolde, from Old English; akin to Old High German wolta wished, desired",english words
how,87,how:1,adverb,how,/ˈhau̇/,in what manner or way.,"Middle English, from Old English hū; akin to Old High German hwuo how, Old English hwā who who",english words
were,88,were:1,verb,were,/wɝ/,second-person singular simple past indicative of be,"Middle English were, weren, from Old English wǣre, wǣron, wǣren, from Proto-Germanic *wēz-, from Proto-Indo-European *h₂wes-. More at was.",english words
me,89,me:1,pronoun,me,/ˈmē/,"first-person singular pronoun, referring to the speaker.","Middle English, from Old English mē; akin to Old High German mīh me, Latin me, Greek me, Sanskrit mā",english words
s,90,s:1,noun,s,/ˈes/,the 19th letter of the English alphabet.,,english words
services,91,service:1,noun,,/ˈsər-vəs/,the occupation or function of serving.,"Middle English, from Anglo-French servise, from Latin servitium condition of a slave, body of slaves, from servus slave",english words
some,92,some:1,adjective,,"/ˈsəm, /","being an unknown, undetermined, or unspecified unit or thing.","Middle English som, adjective & pron., from Old English sum; akin to Old High German sum some, Greek hamē somehow, homos same same",english words
these,93,these:1,determiner,,/ðiz/,plural of this,"From Middle English þes, from Old English þas, from Proto-West Germanic *þes-, a form of Proto-Germanic *sa (“that”), from Proto-Indo-European *só. Compare with German diese.",english words
click,94,click:1,verb,click,/ˈklik/,"to strike, move, or produce with a click.",probably imitative,english words
its,95,its:1,adjective,its,"/ˈits, əts/","of or relating to it or itself especially as possessor, agent, or object of an action.",,english words
like,96,like:1,verb,like,/ˈlīk/,to be suitable or agreeable to.,"Middle English, from Old English līcian; akin to Old English gelīc alike",english words
service,97,service:1,noun,,/ˈsər-vəs/,the occupation or function of serving.,"Middle English, from Anglo-French servise, from Latin servitium condition of a slave, body of slaves, from servus slave",english words
x,98,X:1,adjective,x,/ˈeks/,of such a nature that admission is denied to persons under a specified age (as 17)NC-17.,,english words
than,99,than:1,conjunction,than,"/t͟hən, ˈt͟han/",,"Middle English than, then then, than then",english words
find,100,find:1,verb,,/ˈfīnd/,to come upon often accidentally :encounter.,"Middle English, from Old English findan; akin to Old High German findan to find, Latin pont-, pons bridge, Greek pontos sea, Sanskrit patha way, course",english words
forum,101,forum:1,noun,,/ˈfȯr-əm/,the marketplace or public place of an ancient Roman city forming the center of judicial and public business.,"Latin; akin to Latin foris outside, fores door door",english words
family,102,family:1,noun,fam*i*ly,"/ˈfam-lē, ˈfa-mə-/",a group of individuals living under one roof and usually under one head :household.,"Middle English familie, from Latin familia household (including servants as well as kin of the householder), from famulus servant",english words
l,103,l:1,noun,l,/ˈel/,the 12th letter of the English alphabet.,,english words
long,104,long:1,adjective,long,/ˈlȯŋ/,extending for a considerable distance.,"Middle English long, lang, from Old English; akin to Old High German lang long, Latin longus",english words
based,105,base:1,noun,,/ˈbās/,"the lower part of a wall, pier, or column considered as a separate architectural feature.","Middle English, from Anglo-French, from Latin basis, from Greek, step, base, from bainein to go come",english words
w,106,w:1,noun,w,"/ˈdə-bəl-(ˌ)yü, ˈdə-bə-; ˈdəb-(ˌ)yü, -yə; ˈdəb-yē/",the 23d letter of the English alphabet.,German Wolfram,english words
code,107,code:1,noun,code,/ˈkōd/,a systematic statement of a body of law; especially one given statutory force.,"Middle English, from Middle French, from Latin caudex, codex trunk of a tree, document formed originally from wooden tablets",english words
show,108,show:1,verb,,/ˈshō/,to cause or permit to be seen :exhibit.,"Middle English shewen, showen, from Old English scēawian to look, look at, see; akin to Old High German scouwōn to look, look at, and probably to Latin cavēre to be on one's guard",english words
o,109,o:1,noun,,/ˈō/,,,english words
even,110,even:1,noun,even,/ˈē-vən/,evening.,"Middle English even, eve, from Old English ǣfen",english words
black,111,black:1,adjective,black,/ˈblak/,of the color black.,"Middle English blak, from Old English blæc; akin to Old High German blah black, and probably to Latin flagrare to burn, Greek phlegein",english words
check,112,check:1,noun,,/ˈchek/,exposure of a chess king to an attack from which he must be protected or moved to safety.,"Middle English chek, from Anglo-French eschec, from Arabic shāh, from Persian, literally, king; akin to Greek ktasthai to acquire, Sanskrit kṣatra dominion",english words
special,113,special:1,adjective,spe*cial,/ˈspe-shəl/,distinguished by some unusual quality; especially being in some way superior.,"Middle English, from Anglo-French or Latin; Anglo-French especial, from Latin specialis individual, particular, from species species",english words
prices,114,price:1,noun,price,/ˈprīs/,"value, worth.","Middle English pris, from Anglo-French, from Latin pretium price, money; probably akin to Sanskrit prati- against, in return pros-",english words
website,115,Web site:1,noun,web*site,,"a group of World Wide Web pages usually containing hyperlinks to each other and made available online by an individual, company, educational institution, government, or organization.",,english words
index,116,index:1,noun,,/ˈin-ˌdeks/,a device (as the pointer on a scale or the gnomon of a sundial) that serves to indicate a value or quantity.,"Latin indic-, index, from indicare to indicate",english words
being,117,being:1,noun,,/ˈbē(-i)ŋ/,the quality or state of having existence.,present participle of be,english words
women,118,woman:1,noun,,"/ˈwu̇-mən, ˈwō- ˈwə-/",an adult female person.,"Middle English, from Old English wīfman, from wīf woman, wife + man human being, man",english words
much,119,much:1,adjective,much,/ˈməch/,"great in quantity, amount, extent, or degree.","Middle English muche large, much, from michel, muchel, from Old English micel, mycel; akin to Old High German mihhil great, large, Latin magnus, Greek megas, Sanskrit mahat",english words
sign,120,sign:1,noun,sign,/ˈsīn/,a motion or gesture by which a thought is expressed or a command or wish made known.,"Middle English signe, from Anglo-French, from Latin signum mark, token, sign, image, seal; perhaps akin to Latin secare to cut saw",english words
file,121,file:1,noun,file,/ˈfī(-ə)l/,a tool usually of hardened steel with cutting ridges for forming or smoothing surfaces especially of metal.,"Middle English, from Old English fēol; akin to Old High German fīla file",english words
link,122,link:1,noun,link,/ˈliŋk/,a connecting structure: as.,"Middle English, of Scandinavian origin; akin to Old Norse hlekkr chain; akin to Old English hlanc lank",english words
open,123,open:1,adjective,open,"/ˈō-pən, -pᵊm/",having no enclosing or confining barrier :accessible on all or nearly all sides.,"Middle English, from Old English; akin to Old High German offan open, Old English ūp up",english words
today,124,today:1,adverb,to*day,/tə-ˈdā/,on or for this day.,,english words
technology,125,technology:1,noun,tech*nol*o*gy,/tek-ˈnä-lə-jē/,the practical application of knowledge especially in a particular area :engineering 2.,"Greek technologia systematic treatment of an art, from technē art, skill + -o- + -logia -logy",english words
south,126,south:1,adverb,south,/ˈsau̇th/,"to, toward, or in the south.","Middle English, from Old English sūth; akin to Old High German sund- south and probably to Old English sunne sun",english words
case,127,case:1,noun,case,/ˈkās/,a set of circumstances or conditions.,"Middle English cas, from Anglo-French, from Latin casus fall, chance, from cadere to fall chance",english words
project,128,project:1,noun,proj*ect,"/ˈprä-ˌjekt, -jikt ˈprō-/",a specific plan or design :scheme.,"Middle English projecte, from Medieval Latin projectum, from Latin, neuter of projectus, past participle of proicere to throw forward, from pro- + jacere to throw jet",english words
same,129,same:1,adjective,same,/ˈsām/,resembling in every relevant respect.,"Middle English, from Old Norse samr; akin to Old High German sama same, Latin simulis like, simul together, at the same time, similis like, sem- one, Greek homos same, hama together, hen-, heis one",english words
pages,130,page:1,noun,page,/ˈpāj/,a youth being trained for the medieval rank of knight and in the personal service of a knight.,"Middle English, from Anglo-French",english words
uk,131,UK:1,abbreviation,,,United Kingdom.,,english words
version,132,version:1,noun,ver*sion,"/ˈvər-zhən, -shən/",a translation from another language; especially a translation of the Bible or a part of it.,"Middle French, from Medieval Latin version-, versio act of turning, change, from Latin vertere to turn worth",english words
section,133,section:1,noun,sec*tion,/ˈsek-shən/,the action or an instance of cutting or separating by cutting.,"Latin section-, sectio, from secare to cut saw",english words
own,134,own:1,adjective,own,/ˈōn/,belonging to oneself or itself.,"Middle English owen, from Old English āgen; akin to Old High German eigan own, Old Norse eiginn, Old English āgan to possess owe",english words
found,135,found:1,adjective,,/ˈfau̇nd/,"having all usual, standard, or reasonably expected equipment.","Middle English, from Anglo-French funder, fonder, from Latin fundare, from fundus bottom bottom",english words
sports,136,sport:1,verb,sport,/ˈspȯrt/,to amuse oneself :frolic.,"Middle English, to divert, disport, short for disporten",english words
house,137,house:1,noun,house,/ˈhau̇s/,a building that serves as living quarters for one or a few families :home.,"Middle English hous, from Old English hūs; akin to Old High German hūs house",english words
related,138,related:1,adjective,re*lat*ed,,connected by reason of an established or discoverable relation.,,english words
security,139,security:1,noun,se*cu*ri*ty,/si-ˈkyu̇r-ə-tē/,the quality or state of being secure: as.,,english words
both,140,both:1,"pronoun, plural in construction",,/ˈbōth/,the one as well as the other.,"Middle English bothe, probably from Old Norse bāthir; akin to Old High German beide both",english words
g,141,g:1,noun,g,/ˈjē/,the 7th letter of the English alphabet.,,english words
county,142,county:1,noun,coun*ty,/ˈkau̇n-tē/,the domain of a count.,"Middle English counte, from Anglo-French cunté, counté, from Medieval Latin comitatus, from Late Latin, office of a count, from comit-, comes count count",english words
american,143,American:1,noun,Amer*i*can,"/ə-ˈmer-ə-kən, -ˈmər-, -ˈme-rə-/",an American Indian of North America or South America.,,english words
photo,144,photo:1,noun,pho*to,/ˈfō-(ˌ)tō/,photograph.,,english words
game,145,game:1,noun,game,/ˈgām/,activity engaged in for diversion or amusement :play.,"Middle English, from Old English gamen; akin to Old High German gaman amusement",english words
members,146,member:1,noun,,/ˈmem-bər/,a body part or organ: as.,"Middle English membre, from Anglo-French, from Latin membrum; akin to Gothic mimz flesh, Greek mēros thigh",english words
power,147,power:1,noun,pow*er,/ˈpau̇(-ə)r/,ability to act or produce an effect.,"Middle English, from Anglo-French poer, pouer, from poer to be able, from Vulgar Latin *potēre, alteration of Latin posse potent",english words
while,148,while:1,noun,while,"/ˈhwī(-ə)l, ˈwī(-ə)l/",a period of time especially when short and marked by the occurrence of an action or a condition :time.,"Middle English, from Old English hwīl; akin to Old High German hwīla time, Latin quies rest, quiet",english words
care,149,care:1,noun,,/ˈker/,suffering of mind :grief.,"Middle English, from Old English caru; akin to Old High German kara lament, Old Irish gairm call, cry, Latin garrire to chatter",english words
network,150,network:1,noun,net*work,/ˈnet-ˌwərk/,a fabric or structure of cords or wires that cross at regular intervals and are knotted or secured at the crossings.,,english words
down,151,down:1,adverb,down,/ˈdau̇n/,toward or in a lower physical position.,"Middle English doun, from Old English dūne, short for adūne, of dūne, from a- (from of), of off, from + dūne, dative of dūn hill",english words
computer,152,computer:1,noun,com*put*er,/kəm-ˈpyü-tər/,"one that computes; specifically a programmable usually electronic device that can store, retrieve, and process data.",,english words
systems,153,system:1,noun,,/ˈsis-təm/,a regularly interacting or interdependent group of items forming a unified whole: as.,"Late Latin systemat-, systema, from Greek systēmat-, systēma, from synistanai to combine, from syn- + histanai to cause to stand stand",english words
three,154,three:1,noun,three,/ˈthrē/,see number table.,"Middle English, from three, adjective, from Old English thrīe (masculine), thrēo (feminine & neuter); akin to Old High German drī three, Latin tres, Greek treis",english words
total,155,total:1,adjective,to*tal,/ˈtō-tᵊl/,comprising or constituting a whole :entire.,"Middle English, from Anglo-French, from Medieval Latin totalis, from Latin totus whole, entire",english words
place,156,place:1,noun,place,/ˈplās/,physical environment :space.,"Middle English, from Anglo-French, open space, from Latin platea broad street, from Greek plateia (hodos), from feminine of platys broad, flat; akin to Sanskrit pṛthu broad, Latin planta sole of the foot",english words
end,157,end:1,noun,end,/ˈend/,the part of an area that lies at the boundary.,"Middle English ende, from Old English; akin to Old High German enti end, Latin ante before, Greek anti against",english words
following,158,following:1,adjective,fol*low*ing,/ˈfä-lə-wiŋ/,being next in order or time.,,english words
download,159,download:1,noun,down*load,/ˈdau̇n-ˌlōd/,an act or instance of downloading something; also the item downloaded.,,english words
h,160,h:1,noun,h,/ˈāch/,the 8th letter of the English alphabet.,,english words
him,161,him:1,pronoun,him,"/im, ˈhim/",,,english words
without,162,without:1,preposition,with*out,"/wi-ˈt͟hau̇t, -ˈthau̇t/",outside.,"Middle English withoute, from Old English withūtan, from with + ūtan outside, from ūt out out",english words
per,163,per:1,preposition,per,/ˈpər/,by the means or agency of :through.,"Latin, through, by means of, by for",english words
access,164,access:1,noun,ac*cess,/ˈak-ˌses ik-ˈses/,onset 2.,"Middle English, from Anglo-French & Latin; Anglo-French acces, from Latin accessus approach, from accedere to approach accede",english words
think,165,think:1,verb,,/ˈthiŋk/,to form or have in the mind.,"Middle English thenken, from Old English thencan; akin to Old High German denken to think, Latin tongēre to know thanks",english words
north,166,north:1,adverb,north,/ˈnȯrth/,"to, toward, or in the north.","Middle English, from Old English; akin to Old High German nord north and perhaps to Greek nerteros lower, infernal",english words
resources,167,resource:1,noun,,"/ˈrē-ˌsȯrs, -ˌzȯrs, ri-ˈ/",a source of supply or support :an available means.,"French ressource, from Old French ressourse relief, resource, from resourdre to relieve, literally, to rise again, from Latin resurgere resurrection",english words
